          et          eterr          ex          exerr    ngal      rkpc       ras   zgal    zcl
  -0.0381174   0.0207260546   0.0045449   0.0207260546     265   189.610   223.295  0.775  0.043
   0.0055292   0.0120884270   0.0149414   0.0120884270     770   266.109   313.385  0.775  0.043
  -0.0191111   0.0085154330  -0.0002678   0.0085154330    1542   393.183   463.035  0.775  0.043
  -0.0041745   0.0060022343  -0.0049773   0.0060022343    2971   570.359   671.687  0.775  0.043
   0.0063721   0.0041463001   0.0018137   0.0041463001    7157   837.652   986.466  0.775  0.043
   0.0003060   0.0026619536   0.0023214   0.0026619536   14202  1212.463  1427.865  0.775  0.043
  -0.0004242   0.0020311521   0.0005457   0.0020311521   28184  1767.559  2081.578  0.775  0.043
   0.0014481   0.0014378742  -0.0015103   0.0014378742   -4703  2573.561  3030.772  0.775  0.043
